titulo,autor,link
"Usa Python para Modelar, Simular y Optimizar Sistemas",Federico Garay,https://escueladirecta-blog.blogspot.com/2023/04/usa-python-para-modelar-simular-y.html
Domina la Regresión Lineal paso a paso en Excel,Federico Garay,https://escueladirecta-blog.blogspot.com/2023/04/domina-la-regresion-lineal-paso-paso-en.html
Power Pivot: Análisis y Modelado de Datos en Excel,Federico Garay,https://escueladirecta-blog.blogspot.com/2023/04/power-pivot-analisis-y-modelado-de.html
Redescubre el poder de Excel con Power Query,Federico Garay,https://escueladirecta-blog.blogspot.com/2023/03/redescubre-el-poder-de-excel-con-power.html
Formato de Fechas en Strings,Federico Garay,https://escueladirecta-blog.blogspot.com/2022/11/formato-de-fechas-en-strings.html
Fórmulas para Contar Valores Distintos (Todas las versiones de Excel),Federico Garay,https://escueladirecta-blog.blogspot.com/2022/11/formulas-para-contar-valores-distintos_23.html
Trucos de Formato de Cadenas en Python,Federico Garay,https://escueladirecta-blog.blogspot.com/2022/11/trucos-de-formato-de-cadenas-en-python.html
Fórmulas para Contar Valores Distintos (Excel 365 y 2021),Federico Garay,https://escueladirecta-blog.blogspot.com/2022/11/formulas-para-contar-valores-distintos.html
¿Qué significa if __name__ == '__main__'?,Federico Garay,https://escueladirecta-blog.blogspot.com/2022/11/que-significa-if-name-main.html
Uso de la Ventana Inmediato para probar código en VBA,Federico Garay,https://escueladirecta-blog.blogspot.com/2022/10/uso-de-la-ventana-inmediato-para-probar.html
¿Por qué se utiliza Python en Ciencia de Datos?,Federico Garay,https://escueladirecta-blog.blogspot.com/2022/10/por-que-se-utiliza-python-en-ciencia-de.html
La Instrucción Debug.Print en VBA,Federico Garay,https://escueladirecta-blog.blogspot.com/2022/10/la-instruccion-debugprint-en-vba.html
